ENSHGLG00000002435	4930453N24RIK
ENSHGLG00000001656	GNA14
ENSHGLG00000001658	MAPK8
ENSHGLG00000001659	PLK3
ENSHGLG00000001668	KCNQ5
ENSHGLG00000001669	TDRD7
ENSHGLG00000001670	PDZD7
ENSHGLG00000001671	SMPX
ENSHGLG00000001672	PLAG1
ENSHGLG00000001674	MDN1
ENSHGLG00000001675	TAF9B
ENSHGLG00000001677	CCDC17
ENSHGLG00000001678	ARMC9
ENSHGLG00000001679	PEX5
ENSHGLG00000001681	AXIN2
ENSHGLG00000001683	ZBTB11
ENSHGLG00000001684	STRC
ENSHGLG00000001685	METTL24
ENSHGLG00000001686	S1PR1
ENSHGLG00000001687	CCDC154
ENSHGLG00000001688	PLN
ENSHGLG00000001689	TNFRSF1A
ENSHGLG00000001690	FAM162A
ENSHGLG00000001691	SCAMP1
ENSHGLG00000001694	DIO1
ENSHGLG00000001695	TBCEL
ENSHGLG00000001696	FRRS1
ENSHGLG00000001697	FAM120C
ENSHGLG00000001700	NFATC1
ENSHGLG00000001701	COL5A2
ENSHGLG00000001702	NAA30
ENSHGLG00000001703	SLC39A8
ENSHGLG00000001704	PGK1
ENSHGLG00000001705	ZSWIM7
ENSHGLG00000001708	RNPC3
ENSHGLG00000001710	MIOS
ENSHGLG00000001711	CCDC59
ENSHGLG00000001713	STIL
ENSHGLG00000001714	MBTPS2
ENSHGLG00000001715	FBXO15
ENSHGLG00000001717	WDR5B
ENSHGLG00000001718	GSTCD
ENSHGLG00000001720	SSR4
ENSHGLG00000001722	SOAT2
ENSHGLG00000001723	ADORA2B
ENSHGLG00000001724	KLHL42
ENSHGLG00000001725	CD79A
ENSHGLG00000001726	POLG2
ENSHGLG00000001728	IDS
ENSHGLG00000001731	CNOT10
ENSHGLG00000001734	RFFL
ENSHGLG00000001735	SCNN1A
ENSHGLG00000001736	TINAG
ENSHGLG00000001737	MSN
ENSHGLG00000001739	TMEM135
ENSHGLG00000001740	KHNYN
ENSHGLG00000001743	CDKL5
ENSHGLG00000001746	NUBPL
ENSHGLG00000001748	IL22RA2
ENSHGLG00000001750	ARAP2
ENSHGLG00000001752	TSPAN6
ENSHGLG00000001753	ARHGAP6
ENSHGLG00000001754	SORCS3
ENSHGLG00000001755	PARD6G
ENSHGLG00000001756	IFI30
ENSHGLG00000001757	GRIK4
ENSHGLG00000001758	NKX2-1
ENSHGLG00000001760	PHKA2
ENSHGLG00000001761	ARTN
ENSHGLG00000001762	TBC1D2B
ENSHGLG00000001765	RPL24
ENSHGLG00000001767	CCDC120
ENSHGLG00000001768	CACNA1F
ENSHGLG00000001770	ABCA6
ENSHGLG00000001771	DDX5
ENSHGLG00000001773	SMS
ENSHGLG00000001775	ETFA
ENSHGLG00000001776	PCBP2
ENSHGLG00000001777	TET2
ENSHGLG00000001778	GNL3L
ENSHGLG00000001780	TRIM41
ENSHGLG00000001781	SMPDL3A
ENSHGLG00000001782	TSPAN1
ENSHGLG00000001783	PAPSS1
ENSHGLG00000001784	CD163
ENSHGLG00000001785	MOCOS
ENSHGLG00000001787	ADCY4
ENSHGLG00000001788	SLC30A10
ENSHGLG00000001789	FLNA
ENSHGLG00000001791	FAM83B
ENSHGLG00000001792	ADNP2
ENSHGLG00000001793	CLCN7
ENSHGLG00000001794	GC
ENSHGLG00000001795	SCP2
ENSHGLG00000001800	RGS9
ENSHGLG00000001801	SCARF2
ENSHGLG00000001802	AIDA
ENSHGLG00000001804	ATP7A
ENSHGLG00000001805	PARP9
ENSHGLG00000001808	COX7A2
ENSHGLG00000001812	FOXB2
ENSHGLG00000001813	MANBA
ENSHGLG00000001814	LTBR
ENSHGLG00000001816	GEMIN8
ENSHGLG00000001818	LRP8
ENSHGLG00000001820	SPATA17
ENSHGLG00000001821	ASB9
ENSHGLG00000001822	IPO13
ENSHGLG00000001823	TLX1
ENSHGLG00000001824	FABP7
ENSHGLG00000001826	TRIM71
ENSHGLG00000001827	CLCN5
ENSHGLG00000001830	ACP1
ENSHGLG00000001831	TAPBPL
ENSHGLG00000001832	ARHGEF7
ENSHGLG00000001837	NEDD4L
ENSHGLG00000001838	ELP2
ENSHGLG00000001840	B3GNT7
ENSHGLG00000001841	CLMP
ENSHGLG00000001842	PGM2
ENSHGLG00000001843	PGR
ENSHGLG00000001846	ARL8B
ENSHGLG00000001847	CEP95
ENSHGLG00000001848	HCRTR2
ENSHGLG00000001849	HOXC13
ENSHGLG00000001851	PITX3
ENSHGLG00000001852	REP15
ENSHGLG00000001853	PIK3R3
ENSHGLG00000001854	SENP6
ENSHGLG00000001857	RAD51D
ENSHGLG00000001858	TAF1B
ENSHGLG00000001861	ZCCHC7
ENSHGLG00000001863	VPS35
ENSHGLG00000001865	PORCN
ENSHGLG00000001866	COL25A1
ENSHGLG00000001867	VAMP1
ENSHGLG00000001868	DTX3L
ENSHGLG00000001869	AGL
ENSHGLG00000001870	CLEC4E
ENSHGLG00000001871	GORAB
ENSHGLG00000001872	PEAK1
ENSHGLG00000001873	ESR1
ENSHGLG00000001874	HN1L
ENSHGLG00000001875	USP38
ENSHGLG00000001876	SELP
ENSHGLG00000001879	BCLAF1
ENSHGLG00000001880	TRIM7
ENSHGLG00000001882	NCBP1
ENSHGLG00000001884	HSPA8
ENSHGLG00000001886	CALCR
ENSHGLG00000001887	MRPL51
ENSHGLG00000001889	MPV17L2
ENSHGLG00000001890	SLC19A2
ENSHGLG00000001895	KCND1
ENSHGLG00000001896	SEMA4G
ENSHGLG00000001898	METTL25
ENSHGLG00000001900	PTPN9
ENSHGLG00000001901	G2E3
ENSHGLG00000001902	CLEC4D
ENSHGLG00000001906	RUFY3
ENSHGLG00000001907	STAC
ENSHGLG00000001909	ABCE1
ENSHGLG00000001910	ABCA5
ENSHGLG00000001911	KRT4
ENSHGLG00000001912	BROX
ENSHGLG00000001913	PKD1
ENSHGLG00000001915	TMEM69
ENSHGLG00000001917	GFRAL
ENSHGLG00000001918	UBE2Q2
ENSHGLG00000001919	BARX2
ENSHGLG00000001921	NXT2
ENSHGLG00000001923	LCA5
ENSHGLG00000001924	NTSR2
ENSHGLG00000001925	LBX1
ENSHGLG00000001927	GSTA4
ENSHGLG00000001928	GNA13
ENSHGLG00000001929	WDR45
ENSHGLG00000001930	PARP14
ENSHGLG00000001931	GUCY1A3
ENSHGLG00000001932	GIGYF2
ENSHGLG00000001933	TFPI2
ENSHGLG00000001934	NCAPD2
ENSHGLG00000001936	DCX
ENSHGLG00000001939	PDZD4
ENSHGLG00000001940	IL1RAPL2
ENSHGLG00000001941	GRHPR
ENSHGLG00000001942	BSX
ENSHGLG00000001943	NTM
ENSHGLG00000001944	KLHL5
ENSHGLG00000001947	RAB3A
ENSHGLG00000001948	REV3L
ENSHGLG00000001949	CNIH3
ENSHGLG00000001954	CALCOCO1
ENSHGLG00000001955	SCAPER
ENSHGLG00000001957	CBLN2
ENSHGLG00000001958	CACNB4
ENSHGLG00000001959	OSTC
ENSHGLG00000001960	DTD2
ENSHGLG00000001961	GNGT1
ENSHGLG00000001962	SERPINB5
ENSHGLG00000001963	FNDC8
ENSHGLG00000001965	CLDND1
ENSHGLG00000001966	PPFIBP1
ENSHGLG00000001968	YIPF1
ENSHGLG00000001969	CRAMP1L
ENSHGLG00000001971	IL2
ENSHGLG00000001972	MBIP
ENSHGLG00000001973	RPS19
ENSHGLG00000001974	EPRS
ENSHGLG00000001975	SERINC1
ENSHGLG00000001977	ACOT11
ENSHGLG00000001978	CBLN3
ENSHGLG00000001979	PDE6D
ENSHGLG00000001981	JHY
ENSHGLG00000001982	GNG11
ENSHGLG00000001986	AMZ2
ENSHGLG00000001987	NPNT
ENSHGLG00000001988	LSM8
ENSHGLG00000001989	KCNJ5
ENSHGLG00000001990	SNTG2
ENSHGLG00000001991	ATP1B1
ENSHGLG00000001992	SMURF2
ENSHGLG00000001993	HMGCLL1
ENSHGLG00000001994	IPP
ENSHGLG00000001995	ZBTB5
ENSHGLG00000001996	HSPBAP1
ENSHGLG00000001998	PRAF2
ENSHGLG00000001999	SLC35A3
ENSHGLG00000002005	BET1
ENSHGLG00000002006	NLE1
ENSHGLG00000002007	CALHM2
ENSHGLG00000002008	MYLK3
ENSHGLG00000002009	GNAQ
ENSHGLG00000002010	TMEM185A
ENSHGLG00000002011	SNX9
ENSHGLG00000002012	KIF2A
ENSHGLG00000002015	CEP97
ENSHGLG00000002016	ACTR8
ENSHGLG00000002018	ANKRD10
ENSHGLG00000002019	SLC4A7
ENSHGLG00000002021	SASS6
ENSHGLG00000002022	SERPINB12
ENSHGLG00000002023	CPOX
ENSHGLG00000002024	NUTM1
ENSHGLG00000002027	SPTSSA
ENSHGLG00000002028	TFB1M
ENSHGLG00000002029	PAX9
ENSHGLG00000002030	IL21
ENSHGLG00000002033	SERPIND1
ENSHGLG00000002035	DMRTC2
ENSHGLG00000002036	POLR1E
ENSHGLG00000002038	KDM4A
ENSHGLG00000002040	SGMS2
ENSHGLG00000002041	PLCG1
ENSHGLG00000002044	COMMD4
ENSHGLG00000002045	STOML2
ENSHGLG00000002046	ING1
ENSHGLG00000002050	ARHGEF9
ENSHGLG00000002051	BMP5
ENSHGLG00000002052	MYH7
ENSHGLG00000002057	WBP1L
ENSHGLG00000002058	GRIPAP1
ENSHGLG00000002059	SLC16A6
ENSHGLG00000002060	FGB
ENSHGLG00000002061	DPH2
ENSHGLG00000002062	COL1A2
ENSHGLG00000002063	BRWD3
ENSHGLG00000002064	SH3PXD2A
ENSHGLG00000002067	CTTNBP2
ENSHGLG00000002068	CARS2
ENSHGLG00000002069	CNBP
ENSHGLG00000002071	MAP2K6
ENSHGLG00000002072	STRN3
ENSHGLG00000002073	EDEM1
ENSHGLG00000002074	CNGA2
ENSHGLG00000002075	FBXO9
ENSHGLG00000002077	HAUS4
ENSHGLG00000002078	IFT140
ENSHGLG00000002079	TRIB2
ENSHGLG00000002080	CNTN3
ENSHGLG00000002083	SERPINB13
ENSHGLG00000002084	MYSM1
ENSHGLG00000002085	PPIH
ENSHGLG00000002086	LPCAT4
ENSHGLG00000002087	CYP17A1
ENSHGLG00000002088	TSTD2
ENSHGLG00000002089	PRRX1
ENSHGLG00000002090	CCR4
ENSHGLG00000002091	PELI2
ENSHGLG00000002093	ASCC3
ENSHGLG00000002096	INTS12
ENSHGLG00000002097	GUCY2F
ENSHGLG00000002099	SYNGR3
ENSHGLG00000002101	FSTL5
ENSHGLG00000002102	TLE4
ENSHGLG00000002103	MCF2L
ENSHGLG00000002106	ITGA5
ENSHGLG00000002107	SFXN3
ENSHGLG00000002109	SEMA5B
ENSHGLG00000002110	RASA3
ENSHGLG00000002113	DEDD2
ENSHGLG00000002114	LYPD4
ENSHGLG00000002115	GBF1
ENSHGLG00000002116	IRAK1
ENSHGLG00000002117	UNC45B
ENSHGLG00000002119	NME7
ENSHGLG00000002121	NAXD
ENSHGLG00000002122	FBXO10
ENSHGLG00000002124	ACTR1A
ENSHGLG00000002126	CALHM1
ENSHGLG00000002128	TAF1A
ENSHGLG00000002129	POLK
ENSHGLG00000002130	KPNA2
ENSHGLG00000002131	SMIM14
ENSHGLG00000002132	IBA57
ENSHGLG00000002134	ARSG
ENSHGLG00000002135	IL17RB
ENSHGLG00000002136	SPATA19
ENSHGLG00000002140	FOXRED1
ENSHGLG00000002142	TRAPPC3L
ENSHGLG00000002143	FAM214B
ENSHGLG00000002144	FBXL2
ENSHGLG00000002147	CHRNG
ENSHGLG00000002148	NYNRIN
ENSHGLG00000002149	BCKDHB
ENSHGLG00000002150	GLB1
ENSHGLG00000002152	GPR180
ENSHGLG00000002153	THBS4
ENSHGLG00000002158	OFD1
ENSHGLG00000002159	PRMT5
ENSHGLG00000002161	RAB20
ENSHGLG00000002164	TRMT13
ENSHGLG00000002165	THOC7
ENSHGLG00000002166	CCDC83
ENSHGLG00000002168	PRSS48
ENSHGLG00000002169	LONRF3
ENSHGLG00000002170	RBMS3
ENSHGLG00000002171	POMGNT1
ENSHGLG00000002172	STX17
ENSHGLG00000002174	GPT2
ENSHGLG00000002175	RAB4B
ENSHGLG00000002179	GCM1
ENSHGLG00000002183	RRP15
ENSHGLG00000002184	UGT2A1
ENSHGLG00000002186	PLXNA3
ENSHGLG00000002188	TSR2
ENSHGLG00000002189	SYNCRIP
ENSHGLG00000002192	INSM2
ENSHGLG00000002195	CALHM3
ENSHGLG00000002196	RBFA
ENSHGLG00000002198	GFER
ENSHGLG00000002200	TBC1D2
ENSHGLG00000002201	IARS2
ENSHGLG00000002203	PLXNB3
ENSHGLG00000002204	UGDH
ENSHGLG00000002205	DNAJB5
ENSHGLG00000002206	TMEM204
ENSHGLG00000002207	TCTEX1D4
ENSHGLG00000002208	WIPI1
ENSHGLG00000002209	SLC35A1
ENSHGLG00000002211	COCH
ENSHGLG00000002213	MRPL43
ENSHGLG00000002214	HOXC12
ENSHGLG00000002216	TOMM5
ENSHGLG00000002217	ELOVL5
ENSHGLG00000002218	COL4A2
ENSHGLG00000002219	RHBDF1
ENSHGLG00000002220	TNFRSF11A
ENSHGLG00000002221	CCDC66
ENSHGLG00000002222	LIPE
ENSHGLG00000002224	MUT
ENSHGLG00000002225	OSMR
ENSHGLG00000002228	PTX4
ENSHGLG00000002229	NPY2R
ENSHGLG00000002231	NOXO1
ENSHGLG00000002232	EOMES
ENSHGLG00000002234	ADPRHL1
ENSHGLG00000002235	DNAJA2
ENSHGLG00000002237	TEX101
ENSHGLG00000002239	ANKDD1B
ENSHGLG00000002241	ARMCX3
ENSHGLG00000002242	TNMD
ENSHGLG00000002244	HOXC11
ENSHGLG00000002245	BHMT
ENSHGLG00000002248	ANKRD55
ENSHGLG00000002249	METTL17
ENSHGLG00000002250	F5
ENSHGLG00000002251	TSSK4
ENSHGLG00000002253	TRIM11
ENSHGLG00000002254	LDB1
ENSHGLG00000002256	TMTC4
ENSHGLG00000002258	FAM114A1
ENSHGLG00000002259	GCLC
ENSHGLG00000002260	CFAP206
ENSHGLG00000002261	RNASE6
ENSHGLG00000002263	HOXC10
ENSHGLG00000002265	PRRG3
ENSHGLG00000002266	PRKAR1A
ENSHGLG00000002269	GABRE
ENSHGLG00000002270	IGSF1
ENSHGLG00000002272	FRMPD1
ENSHGLG00000002274	GANAB
ENSHGLG00000002276	LRRC39
ENSHGLG00000002281	CASD1
ENSHGLG00000002282	IL9R
ENSHGLG00000002285	RPUSD4
ENSHGLG00000002288	NVL
ENSHGLG00000002291	WNT2
ENSHGLG00000002294	MAGT1
ENSHGLG00000002295	SMOC2
ENSHGLG00000002297	SLC6A9
ENSHGLG00000002299	RWDD2A
ENSHGLG00000002301	PPP2R3C
ENSHGLG00000002302	COLEC11
ENSHGLG00000002303	RBPMS
ENSHGLG00000002304	PDSS2
ENSHGLG00000002306	GRTP1
ENSHGLG00000002307	RNF122
ENSHGLG00000002308	DDO
ENSHGLG00000002309	IRF9
ENSHGLG00000002311	COPS7B
ENSHGLG00000002312	RHAG
ENSHGLG00000002313	SLFN14
ENSHGLG00000002315	FAM20A
ENSHGLG00000002316	HOXC9
ENSHGLG00000002317	PIK3C3
ENSHGLG00000002318	RPL9
ENSHGLG00000002320	FAM184A
ENSHGLG00000002321	RPL18A
ENSHGLG00000002322	KLHL31
ENSHGLG00000002326	CLNS1A
ENSHGLG00000002330	PCDH19
ENSHGLG00000002332	TXNL4A
ENSHGLG00000002334	PGM3
ENSHGLG00000002335	HOXC8
ENSHGLG00000002336	ACVR2A
ENSHGLG00000002337	HIBCH
ENSHGLG00000002338	MYO6
ENSHGLG00000002340	SYTL2
ENSHGLG00000002341	PEX12
ENSHGLG00000002342	NETO2
ENSHGLG00000002343	NPPC
ENSHGLG00000002344	GAB1
ENSHGLG00000002349	RPL10
ENSHGLG00000002350	TSC2
ENSHGLG00000002351	SH3BGRL2
ENSHGLG00000002352	TIAM2
ENSHGLG00000002353	HAGHL
ENSHGLG00000002356	CCDC170
ENSHGLG00000002357	SUFU
ENSHGLG00000002359	PPP1R13L
ENSHGLG00000002361	SMIM8
ENSHGLG00000002362	THBS2
ENSHGLG00000002363	PFDN5
ENSHGLG00000002366	DCHS2
ENSHGLG00000002367	ASH2L
ENSHGLG00000002368	NEB
ENSHGLG00000002371	GPR55
ENSHGLG00000002372	ATP9B
ENSHGLG00000002375	IPO11
ENSHGLG00000002376	LAMP1
ENSHGLG00000002377	NWD1
ENSHGLG00000002378	TIMM9
ENSHGLG00000002380	TAMM41
ENSHGLG00000002383	NR4A3
ENSHGLG00000002384	DCLK3
ENSHGLG00000002386	ADGB
ENSHGLG00000002388	VWA5A
ENSHGLG00000002389	KLB
ENSHGLG00000002391	ADCY5
ENSHGLG00000002393	NARFL
ENSHGLG00000002395	CYP4X1
ENSHGLG00000002396	WDFY2
ENSHGLG00000002397	FADS2
ENSHGLG00000002398	GULP1
ENSHGLG00000002400	DRP2
ENSHGLG00000002401	LYPD3
ENSHGLG00000002403	TFPI
ENSHGLG00000002406	TRMT10B
ENSHGLG00000002407	RNASE4
ENSHGLG00000002408	IL20RA
ENSHGLG00000002413	AKR1A1
ENSHGLG00000002415	ANXA5
ENSHGLG00000002416	COL4A1
ENSHGLG00000002418	STXBP6
ENSHGLG00000002420	OMA1
ENSHGLG00000002423	XPNPEP2
ENSHGLG00000002425	NEDD8
ENSHGLG00000002426	MLPH
ENSHGLG00000002428	GLB1L2
ENSHGLG00000002429	DIS3L2
ENSHGLG00000002431	TBL3
ENSHGLG00000002433	ATRX
ENSHGLG00000002434	POLR3K
ENSHGLG00000002436	GTSF1
ENSHGLG00000002437	SGCE
ENSHGLG00000002438	AP1S2
ENSHGLG00000002444	PLVAP
ENSHGLG00000002447	SELL
ENSHGLG00000002450	MSLN
ENSHGLG00000002453	EXOSC3
ENSHGLG00000002455	HOXC6
ENSHGLG00000002456	ZYG11B
ENSHGLG00000002458	TRANK1
ENSHGLG00000002459	BPTF
ENSHGLG00000002461	NTHL1
ENSHGLG00000002464	SNRNP25
ENSHGLG00000002469	ITFG1
ENSHGLG00000002470	HUWE1
ENSHGLG00000002473	PCF11
ENSHGLG00000002475	CNFN
ENSHGLG00000002476	REM2
ENSHGLG00000002477	CNNM2
ENSHGLG00000002478	INA
ENSHGLG00000002479	CGA
ENSHGLG00000002481	GAS6
ENSHGLG00000002482	ANGPT2
ENSHGLG00000002483	WDR7
ENSHGLG00000002484	DUSP27
ENSHGLG00000002485	GSTO1
ENSHGLG00000002488	REPS2
ENSHGLG00000002491	SEC11C
ENSHGLG00000002492	RNF151
ENSHGLG00000002493	MPC1
ENSHGLG00000002494	ZMAT1
ENSHGLG00000002497	JAM3
ENSHGLG00000002498	BVES
ENSHGLG00000002499	RIT2
ENSHGLG00000002501	RGS4
ENSHGLG00000002502	SERPINB11
ENSHGLG00000002503	NANS
ENSHGLG00000002506	TTI2
ENSHGLG00000002507	SASH3
ENSHGLG00000002511	SLC39A2
ENSHGLG00000002512	BANK1
ENSHGLG00000002514	HTR2A
ENSHGLG00000002518	MYH6
ENSHGLG00000002520	GRP
ENSHGLG00000002522	ATP6V0B
ENSHGLG00000002523	MSTN
ENSHGLG00000002524	PARP2
ENSHGLG00000002525	RSPH4A
ENSHGLG00000002526	MSLNL
ENSHGLG00000002528	SLC5A5
ENSHGLG00000002529	GTF2E2
ENSHGLG00000002530	ID2
ENSHGLG00000002532	TMPPE
ENSHGLG00000002533	CHDH
ENSHGLG00000002534	RPS7
ENSHGLG00000002535	DDA1
ENSHGLG00000002537	TMEM63A
ENSHGLG00000002538	CUL4A
ENSHGLG00000002542	RPS2
ENSHGLG00000002543	KLHL4
ENSHGLG00000002545	TCTE3
ENSHGLG00000002546	RFC1
ENSHGLG00000002547	CEP78
ENSHGLG00000002549	RPL34
ENSHGLG00000002550	HOXC5
ENSHGLG00000002552	RASL10B
ENSHGLG00000002553	DTNA
ENSHGLG00000002554	JUND
ENSHGLG00000002555	THAP1
ENSHGLG00000002557	CASP12
ENSHGLG00000002558	PCDH10
ENSHGLG00000002559	SLC2A1
ENSHGLG00000002561	FAAH
ENSHGLG00000002562	DBT
ENSHGLG00000002563	SLC9A3R2
ENSHGLG00000002565	REEP3
ENSHGLG00000002567	B4GALT2
ENSHGLG00000002570	IRS2
ENSHGLG00000002571	BEND3
ENSHGLG00000002572	UBE2E3
ENSHGLG00000002574	GPR27
ENSHGLG00000002575	MITF
ENSHGLG00000002580	DISP1
ENSHGLG00000002582	ERMARD
ENSHGLG00000002583	TPGS2
ENSHGLG00000002584	DOPEY1
ENSHGLG00000002585	RNASEH1
ENSHGLG00000002588	BTRC
ENSHGLG00000002589	MEI4
ENSHGLG00000002590	INTS5
ENSHGLG00000002592	PRLH
ENSHGLG00000002594	EGLN2
ENSHGLG00000002595	RPUSD1
ENSHGLG00000002596	GZMB
ENSHGLG00000002597	PHKB
ENSHGLG00000002598	ACTR10
ENSHGLG00000002600	CCDC180
ENSHGLG00000002602	EEF1G
ENSHGLG00000002604	MTTP
ENSHGLG00000002605	IL6ST
ENSHGLG00000002606	FGD1
ENSHGLG00000002607	ATP6AP1
ENSHGLG00000002609	ST8SIA3
ENSHGLG00000002611	DIMT1
ENSHGLG00000002612	PSD
ENSHGLG00000002614	CRTAP
ENSHGLG00000002617	RTCA
ENSHGLG00000002618	EIF4E2
ENSHGLG00000002625	UQCC3
ENSHGLG00000002626	TMEM156
ENSHGLG00000002627	TMEM255B
ENSHGLG00000002629	CKM
ENSHGLG00000002632	CORO2A
ENSHGLG00000002633	MIA3
ENSHGLG00000002634	AP1AR
ENSHGLG00000002636	SMIM18
ENSHGLG00000002638	T
ENSHGLG00000002639	MYG1
ENSHGLG00000002640	MBP
ENSHGLG00000002641	GAB2
ENSHGLG00000002643	TGFBR2
ENSHGLG00000002644	NPW
ENSHGLG00000002645	GNG13
ENSHGLG00000002646	BHMT2
ENSHGLG00000002649	SLC35F4
ENSHGLG00000002650	DLL1
ENSHGLG00000002651	AGPAT5
ENSHGLG00000002653	SNTN
ENSHGLG00000002655	CCDC124
ENSHGLG00000002656	IPO5
ENSHGLG00000002659	NADK2
ENSHGLG00000002660	GTF3C3
ENSHGLG00000002662	PGK2
ENSHGLG00000002663	DAW1
ENSHGLG00000002664	SEC61B
ENSHGLG00000002665	SPATA5
ENSHGLG00000002666	BPNT1
ENSHGLG00000002669	ZDHHC9
ENSHGLG00000002672	SUSD5
ENSHGLG00000002674	MPG
ENSHGLG00000002676	ST3GAL6
ENSHGLG00000002678	TNS2
ENSHGLG00000002681	RPA3
ENSHGLG00000002683	TM9SF1
ENSHGLG00000002684	RNPEPL1
ENSHGLG00000002685	PSTPIP1
ENSHGLG00000002688	LIFR
ENSHGLG00000002689	LMF1
ENSHGLG00000002690	ABHD6
ENSHGLG00000002691	POU2F2
ENSHGLG00000002692	TBC1D5
ENSHGLG00000002695	RSF1
ENSHGLG00000002696	PGP
ENSHGLG00000002697	KCNN1
ENSHGLG00000002699	HOXC4
ENSHGLG00000002700	MS4A13
ENSHGLG00000002701	LRRN1
ENSHGLG00000002707	CDC14A
ENSHGLG00000002709	ANKRD6
ENSHGLG00000002710	XIAP
ENSHGLG00000002712	AKAP4
ENSHGLG00000002714	NMRK1
ENSHGLG00000002715	NPRL3
ENSHGLG00000002716	LARP7
ENSHGLG00000002717	ABI3BP
ENSHGLG00000002718	UNC93A
ENSHGLG00000002721	MLST8
ENSHGLG00000002723	CALCRL
ENSHGLG00000002724	CHRM1
ENSHGLG00000002726	COL9A1
ENSHGLG00000002727	NFKB1
ENSHGLG00000002728	CAPN10
ENSHGLG00000002729	SORCS1
ENSHGLG00000002730	SNX14
ENSHGLG00000002731	NCAPD3
ENSHGLG00000002734	UMAD1
ENSHGLG00000002736	LTB4R2
ENSHGLG00000002741	ST3GAL3
ENSHGLG00000002745	PPP1R9A
ENSHGLG00000002746	GPKOW
ENSHGLG00000002753	TAF5
ENSHGLG00000002755	PROK2
ENSHGLG00000002756	WDR19
ENSHGLG00000002757	CCDC24
ENSHGLG00000002759	RAB30
ENSHGLG00000002760	IRS4
ENSHGLG00000002761	GPR35
ENSHGLG00000002762	FADS1
ENSHGLG00000002764	ESD
ENSHGLG00000002765	ABCC12
ENSHGLG00000002766	FCHO1
ENSHGLG00000002767	GADL1
ENSHGLG00000002768	SELE
ENSHGLG00000002770	LAS1L
ENSHGLG00000002771	CACNA1D
ENSHGLG00000002772	CHM
ENSHGLG00000002773	NAA10
ENSHGLG00000002774	MS4A15
ENSHGLG00000002775	OBFC1
ENSHGLG00000002777	SOX8
ENSHGLG00000002778	GXYLT2
ENSHGLG00000002779	CNIH4
ENSHGLG00000002781	JMY
ENSHGLG00000002782	GALNT12
ENSHGLG00000002784	CAPZA2
ENSHGLG00000002787	CEP57L1
ENSHGLG00000002794	DHCR24
ENSHGLG00000002795	CD3EAP
ENSHGLG00000002796	IRAK1BP1
ENSHGLG00000002799	HEATR5A
ENSHGLG00000002801	COG3
ENSHGLG00000002804	STAG2
ENSHGLG00000002805	MCM9
ENSHGLG00000002806	GTPBP3
ENSHGLG00000002811	ITGA4
ENSHGLG00000002812	KCNJ13
ENSHGLG00000002813	LCP1
ENSHGLG00000002814	PLEKHB1
ENSHGLG00000002815	ALG2
ENSHGLG00000002816	CAPN5
ENSHGLG00000002817	BRICD5
ENSHGLG00000002818	CIDEB
ENSHGLG00000002820	FKBP4
ENSHGLG00000002822	HEMGN
ENSHGLG00000002823	SSTR5
ENSHGLG00000002827	TM4SF20
ENSHGLG00000002829	PPP4R2
ENSHGLG00000002830	IDO2
ENSHGLG00000002831	LZTS2
ENSHGLG00000002832	SLC35E1
ENSHGLG00000002836	MET
ENSHGLG00000002837	VWCE
ENSHGLG00000002838	LINGO1
ENSHGLG00000002839	FBXL15
ENSHGLG00000002841	LEXM
ENSHGLG00000002842	SAMD5
ENSHGLG00000002843	AAAS
ENSHGLG00000002844	STT3A
ENSHGLG00000002845	EFHD1
ENSHGLG00000002848	APEX1
ENSHGLG00000002852	NOP9
ENSHGLG00000002854	KAZALD1
ENSHGLG00000002856	GAPDH
ENSHGLG00000002858	CHIC1
ENSHGLG00000002860	TCEANC2
ENSHGLG00000002861	CNTN5
ENSHGLG00000002862	DAB1
ENSHGLG00000002864	SMUG1
ENSHGLG00000002865	PTPDC1
ENSHGLG00000002869	GALNT15
ENSHGLG00000002870	RAB3GAP2
ENSHGLG00000002872	DGKK
ENSHGLG00000002875	LUC7L
ENSHGLG00000002877	MTA2
ENSHGLG00000002879	BBS7
ENSHGLG00000002880	CCNA1
ENSHGLG00000002882	SH3BP5
ENSHGLG00000002884	FBXO36
ENSHGLG00000002885	CCT4
ENSHGLG00000002887	BSCL2
ENSHGLG00000002889	SPTLC1
ENSHGLG00000002890	NAALAD2
ENSHGLG00000002891	TBRG1
ENSHGLG00000002892	MFHAS1
ENSHGLG00000002894	KIF5C
ENSHGLG00000002895	GRK1
ENSHGLG00000002897	CAPN6
ENSHGLG00000002899	FEN1
ENSHGLG00000002900	ITFG2
ENSHGLG00000002902	NRD1
ENSHGLG00000002903	PTGER4
ENSHGLG00000002905	CADM2
ENSHGLG00000002906	GOLGA7
ENSHGLG00000002907	CASKIN1
ENSHGLG00000002908	HAUS7
ENSHGLG00000002911	KIF1A
ENSHGLG00000002912	SMG9
ENSHGLG00000002915	PHLPP1
ENSHGLG00000002916	LRIG1
ENSHGLG00000002917	SIT1
ENSHGLG00000002918	CACNA1H
ENSHGLG00000002919	SFT2D1
ENSHGLG00000002922	CAV1
ENSHGLG00000002923	IPO4
ENSHGLG00000002924	DDIAS
ENSHGLG00000002925	TGFBR1
ENSHGLG00000002926	LYN
ENSHGLG00000002928	ERI1
ENSHGLG00000002929	SIAE
ENSHGLG00000002932	TRIM8
ENSHGLG00000002933	TGFB2
