ENSMUSG00000059920.9	4930453N24RIK	ENSMUSG00000059920
ENSMUSG00000009471.4	MYOD1	ENSMUSG00000009471
ENSMUSG00000009487.10	OTOG	ENSMUSG00000009487
ENSMUSG00000009545.14	KCNQ1	ENSMUSG00000009545
ENSMUSG00000009549.14	SRP14	ENSMUSG00000009549
ENSMUSG00000009563.16	TOR2A	ENSMUSG00000009563
ENSMUSG00000009566.12	FPGS	ENSMUSG00000009566
ENSMUSG00000009575.14	CBX5	ENSMUSG00000009575
ENSMUSG00000009580.15	ODAM	ENSMUSG00000009580
ENSMUSG00000009588.9	ST6GALNAC1	ENSMUSG00000009588
ENSMUSG00000009614.16	SARDH	ENSMUSG00000009614
ENSMUSG00000009621.18	VAV2	ENSMUSG00000009621
ENSMUSG00000009628.14	TEX15	ENSMUSG00000009628
ENSMUSG00000009640.11	DMAP1	ENSMUSG00000009640
ENSMUSG00000009646.13	PLA2G12B	ENSMUSG00000009646
ENSMUSG00000009654.4	OIT3	ENSMUSG00000009654
ENSMUSG00000009681.9	BCR	ENSMUSG00000009681
ENSMUSG00000009731.4	KCND1	ENSMUSG00000009731
ENSMUSG00000009733.8	TFCP2	ENSMUSG00000009733
ENSMUSG00000009739.16	POU6F1	ENSMUSG00000009739
ENSMUSG00000009772.15	NUAK2	ENSMUSG00000009772
ENSMUSG00000009863.14	SDHB	ENSMUSG00000009863
ENSMUSG00000009876.13	COX4I2	ENSMUSG00000009876
ENSMUSG00000009900.7	WNT3A	ENSMUSG00000009900
ENSMUSG00000009905.5	KDSR	ENSMUSG00000009905
ENSMUSG00000009995.17	TAZ	ENSMUSG00000009995
ENSMUSG00000010025.19	ALDH3A2	ENSMUSG00000010025
ENSMUSG00000010044.12	ZMYND10	ENSMUSG00000010044
ENSMUSG00000010045.2	TMEM115	ENSMUSG00000010045
ENSMUSG00000010047.12	HYAL2	ENSMUSG00000010047
ENSMUSG00000010048.10	IFRD2	ENSMUSG00000010048
ENSMUSG00000010051.15	HYAL1	ENSMUSG00000010051
ENSMUSG00000010057.8	NPRL2	ENSMUSG00000010057
ENSMUSG00000010064.15	SLC38A3	ENSMUSG00000010064
ENSMUSG00000010066.15	CACNA2D2	ENSMUSG00000010066
ENSMUSG00000010067.13	RASSF1	ENSMUSG00000010067
ENSMUSG00000010080.15	EPN3	ENSMUSG00000010080
ENSMUSG00000010086.17	RNF112	ENSMUSG00000010086
ENSMUSG00000010095.13	SLC3A2	ENSMUSG00000010095
ENSMUSG00000010097.13	NXF1	ENSMUSG00000010097
ENSMUSG00000010122.14	SLC47A1	ENSMUSG00000010122
ENSMUSG00000010136.14	PIFO	ENSMUSG00000010136
ENSMUSG00000010142.12	TNFRSF13B	ENSMUSG00000010142
ENSMUSG00000010154.7	SPIRE2	ENSMUSG00000010154
ENSMUSG00000010175.13	PROX1	ENSMUSG00000010175
ENSMUSG00000010205.11	RAVER1	ENSMUSG00000010205
ENSMUSG00000010307.7	TMEM86A	ENSMUSG00000010307
ENSMUSG00000010358.13	IFI35	ENSMUSG00000010358
ENSMUSG00000010362.9	RDM1	ENSMUSG00000010362
ENSMUSG00000010376.14	NEDD8	ENSMUSG00000010376
ENSMUSG00000010406.11	MRPL52	ENSMUSG00000010406
ENSMUSG00000010453.12	KANSL3	ENSMUSG00000010453
ENSMUSG00000010461.14	EYA4	ENSMUSG00000010461
ENSMUSG00000010476.14	EBF3	ENSMUSG00000010476
ENSMUSG00000010505.15	MYT1	ENSMUSG00000010505
ENSMUSG00000010517.7	FAF1	ENSMUSG00000010517
ENSMUSG00000010554.14	METTL16	ENSMUSG00000010554
ENSMUSG00000010608.15	RBM25	ENSMUSG00000010608
ENSMUSG00000010609.15	PSEN2	ENSMUSG00000010609
ENSMUSG00000010660.3	PLCD1	ENSMUSG00000010660
ENSMUSG00000010663.4	FADS1	ENSMUSG00000010663
ENSMUSG00000010721.15	LMBR1	ENSMUSG00000010721
ENSMUSG00000010760.5	PHLDA2	ENSMUSG00000010760
ENSMUSG00000010797.6	WNT2	ENSMUSG00000010797
ENSMUSG00000010803.13	GABRA1	ENSMUSG00000010803
ENSMUSG00000010825.17	GRID2IP	ENSMUSG00000010825
ENSMUSG00000010830.7	KDELR3	ENSMUSG00000010830
ENSMUSG00000010911.12	APIP	ENSMUSG00000010911
ENSMUSG00000010936.11	VAC14	ENSMUSG00000010936
ENSMUSG00000011008.13	MCOLN2	ENSMUSG00000011008
ENSMUSG00000011034.6	SLC5A1	ENSMUSG00000011034
ENSMUSG00000011096.17	AKT1S1	ENSMUSG00000011096
ENSMUSG00000011114.18	TBRG1	ENSMUSG00000011114
ENSMUSG00000011148.13	ADSSL1	ENSMUSG00000011148
ENSMUSG00000011154.17	CFAP161	ENSMUSG00000011154
ENSMUSG00000011158.7	BRF1	ENSMUSG00000011158
ENSMUSG00000011171.11	VIPR2	ENSMUSG00000011171
ENSMUSG00000011179.7	ODC1	ENSMUSG00000011179
ENSMUSG00000011254.16	THG1L	ENSMUSG00000011254
ENSMUSG00000011256.16	ADAM19	ENSMUSG00000011256
ENSMUSG00000011257.19	PABPC4	ENSMUSG00000011257
ENSMUSG00000011263.16	EXOC3L2	ENSMUSG00000011263
ENSMUSG00000011305.11	PLIN5	ENSMUSG00000011305
ENSMUSG00000011306.7	SUGP1	ENSMUSG00000011306
ENSMUSG00000011349.5	DMRTC2	ENSMUSG00000011349
ENSMUSG00000011463.5	CPB1	ENSMUSG00000011463
ENSMUSG00000011589.8	FSD1	ENSMUSG00000011589
ENSMUSG00000011658.15	FUZ	ENSMUSG00000011658
ENSMUSG00000011751.16	SPTBN4	ENSMUSG00000011751
ENSMUSG00000011752.6	PGAM1	ENSMUSG00000011752
ENSMUSG00000011832.15	EVI5L	ENSMUSG00000011832
ENSMUSG00000011837.4	SNAPC2	ENSMUSG00000011837
ENSMUSG00000011877.13	GIT1	ENSMUSG00000011877
ENSMUSG00000011884.13	GLTP	ENSMUSG00000011884
ENSMUSG00000011958.17	BNIP2	ENSMUSG00000011958
ENSMUSG00000011960.12	CCNT1	ENSMUSG00000011960
ENSMUSG00000012017.3	SCARF2	ENSMUSG00000012017
ENSMUSG00000012076.7	BRMS1L	ENSMUSG00000012076
ENSMUSG00000012117.13	DHDDS	ENSMUSG00000012117
ENSMUSG00000012126.16	UBXN11	ENSMUSG00000012126
ENSMUSG00000012282.2	WNT8A	ENSMUSG00000012282
ENSMUSG00000012296.15	TJAP1	ENSMUSG00000012296
ENSMUSG00000012350.15	EHF	ENSMUSG00000012350
ENSMUSG00000012405.15	RPL15	ENSMUSG00000012405
ENSMUSG00000012428.9	STEAP4	ENSMUSG00000012428
ENSMUSG00000012429.8	MPLKIP	ENSMUSG00000012429
ENSMUSG00000012483.4	RPA3	ENSMUSG00000012483
ENSMUSG00000012520.10	PHOX2B	ENSMUSG00000012520
ENSMUSG00000012535.14	TNPO3	ENSMUSG00000012535
ENSMUSG00000012705.16	RETN	ENSMUSG00000012705
ENSMUSG00000012819.15	CDH23	ENSMUSG00000012819
ENSMUSG00000012848.15	RPS5	ENSMUSG00000012848
ENSMUSG00000012889.8	PODNL1	ENSMUSG00000012889
ENSMUSG00000013076.16	AMOTL1	ENSMUSG00000013076
ENSMUSG00000013089.15	ETV5	ENSMUSG00000013089
ENSMUSG00000013150.15	GFOD2	ENSMUSG00000013150
ENSMUSG00000013155.10	ENKD1	ENSMUSG00000013155
ENSMUSG00000013160.7	ATP6V0D1	ENSMUSG00000013160
ENSMUSG00000013236.16	PTPRS	ENSMUSG00000013236
ENSMUSG00000013275.9	SLC41A1	ENSMUSG00000013275
ENSMUSG00000013367.5	IGLON5	ENSMUSG00000013367
ENSMUSG00000013415.9	IGF2BP1	ENSMUSG00000013415
ENSMUSG00000013418.8	B4GALNT2	ENSMUSG00000013418
ENSMUSG00000013465.18	NELFB	ENSMUSG00000013465
ENSMUSG00000013483.14	CARD14	ENSMUSG00000013483
ENSMUSG00000013495.15	TMEM175	ENSMUSG00000013495
ENSMUSG00000013523.13	BCAS1	ENSMUSG00000013523
ENSMUSG00000013584.5	ALDH1A2	ENSMUSG00000013584
ENSMUSG00000013593.12	NDUFS2	ENSMUSG00000013593
ENSMUSG00000013611.14	SNX31	ENSMUSG00000013611
ENSMUSG00000013622.15	ATRAID	ENSMUSG00000013622
ENSMUSG00000013629.16	CAD	ENSMUSG00000013629
ENSMUSG00000013646.17	SH3BP5L	ENSMUSG00000013646
ENSMUSG00000013662.5	ATAD1	ENSMUSG00000013662
ENSMUSG00000013707.3	TNFAIP8L2	ENSMUSG00000013707
ENSMUSG00000013736.16	TRNT1	ENSMUSG00000013736
ENSMUSG00000013787.15	EHMT2	ENSMUSG00000013787
ENSMUSG00000013822.7	ELOF1	ENSMUSG00000013822
ENSMUSG00000013833.15	MED16	ENSMUSG00000013833
ENSMUSG00000013846.9	ST3GAL1	ENSMUSG00000013846
ENSMUSG00000013858.14	TMEM259	ENSMUSG00000013858
ENSMUSG00000013921.15	CLIP3	ENSMUSG00000013921
ENSMUSG00000013936.12	MYL2	ENSMUSG00000013936
ENSMUSG00000013973.12	DEDD	ENSMUSG00000013973
ENSMUSG00000013997.10	NIT1	ENSMUSG00000013997
ENSMUSG00000014030.15	PAX5	ENSMUSG00000014030
ENSMUSG00000014039.17	PRDM15	ENSMUSG00000014039
ENSMUSG00000014074.17	RNF168	ENSMUSG00000014074
ENSMUSG00000014075.15	TCTEX1D2	ENSMUSG00000014075
ENSMUSG00000014077.13	CHP1	ENSMUSG00000014077
ENSMUSG00000014164.14	KLHL3	ENSMUSG00000014164
ENSMUSG00000014177.10	TVP23B	ENSMUSG00000014177
ENSMUSG00000014195.15	DNAJC7	ENSMUSG00000014195
ENSMUSG00000014226.10	CACYBP	ENSMUSG00000014226
ENSMUSG00000014232.14	CLUAP1	ENSMUSG00000014232
ENSMUSG00000014243.5	ZSWIM7	ENSMUSG00000014243
ENSMUSG00000014245.8	PIGL	ENSMUSG00000014245
ENSMUSG00000014294.4	NDUFA2	ENSMUSG00000014294
ENSMUSG00000014301.12	PAM16	ENSMUSG00000014301
ENSMUSG00000014303.13	GLIS2	ENSMUSG00000014303
ENSMUSG00000014313.14	COX6C	ENSMUSG00000014313
ENSMUSG00000014349.7	UBE2Z	ENSMUSG00000014349
ENSMUSG00000014351.12	GIP	ENSMUSG00000014351
ENSMUSG00000014353.14	TMEM87B	ENSMUSG00000014353
ENSMUSG00000014355.10	ANAPC1	ENSMUSG00000014355
ENSMUSG00000014361.5	MERTK	ENSMUSG00000014361
ENSMUSG00000014402.15	TSG101	ENSMUSG00000014402
ENSMUSG00000014418.16	HPS5	ENSMUSG00000014418
ENSMUSG00000014426.8	MAP3K4	ENSMUSG00000014426
ENSMUSG00000014444.17	PIEZO1	ENSMUSG00000014444
ENSMUSG00000014453.3	BLK	ENSMUSG00000014453
ENSMUSG00000014470.4	RNF166	ENSMUSG00000014470
ENSMUSG00000014496.7	ANKRD28	ENSMUSG00000014496
ENSMUSG00000014498.9	ANKRD52	ENSMUSG00000014498
ENSMUSG00000014503.14	PKD2L2	ENSMUSG00000014503
ENSMUSG00000014504.16	SRP19	ENSMUSG00000014504
ENSMUSG00000014542.3	CLEC4F	ENSMUSG00000014542
ENSMUSG00000014547.9	WDFY2	ENSMUSG00000014547
ENSMUSG00000014550.14	RBSN	ENSMUSG00000014550
ENSMUSG00000014554.13	DGUOK	ENSMUSG00000014554
ENSMUSG00000014592.20	CAMTA1	ENSMUSG00000014592
ENSMUSG00000014599.10	CSF1	ENSMUSG00000014599
ENSMUSG00000014601.13	STRIP1	ENSMUSG00000014601
ENSMUSG00000014602.15	KIF1A	ENSMUSG00000014602
ENSMUSG00000014603.2	ALX3	ENSMUSG00000014603
ENSMUSG00000014606.14	SLC25A11	ENSMUSG00000014606
ENSMUSG00000014609.16	CHRNE	ENSMUSG00000014609
ENSMUSG00000014633.15	CMC2	ENSMUSG00000014633
ENSMUSG00000014668.15	CHFR	ENSMUSG00000014668
ENSMUSG00000014686.8	CEACAM16	ENSMUSG00000014686
ENSMUSG00000014704.10	HOXA2	ENSMUSG00000014704
ENSMUSG00000014725.14	ADAM28	ENSMUSG00000014725
ENSMUSG00000014747.6	ANKRD53	ENSMUSG00000014747
ENSMUSG00000014748.13	TEX261	ENSMUSG00000014748
ENSMUSG00000014763.7	FAM120B	ENSMUSG00000014763
ENSMUSG00000014767.16	TBP	ENSMUSG00000014767
ENSMUSG00000014769.9	PSMB1	ENSMUSG00000014769
ENSMUSG00000014771.12	PDCD2	ENSMUSG00000014771
ENSMUSG00000014773.13	DLL1	ENSMUSG00000014773
ENSMUSG00000014776.7	NOL3	ENSMUSG00000014776
ENSMUSG00000014778.10	FHOD1	ENSMUSG00000014778
ENSMUSG00000014786.8	SLC9A5	ENSMUSG00000014786
ENSMUSG00000014791.10	ELMO3	ENSMUSG00000014791
ENSMUSG00000014813.8	STC1	ENSMUSG00000014813
ENSMUSG00000014846.12	TPPP3	ENSMUSG00000014846
ENSMUSG00000014850.15	MSH3	ENSMUSG00000014850
ENSMUSG00000014852.16	ADAMTS13	ENSMUSG00000014852
ENSMUSG00000014856.12	TMEM208	ENSMUSG00000014856
ENSMUSG00000014859.9	E2F4	ENSMUSG00000014859
ENSMUSG00000014867.9	SURF4	ENSMUSG00000014867
ENSMUSG00000014873.15	SURF2	ENSMUSG00000014873
ENSMUSG00000014905.3	DNAJB9	ENSMUSG00000014905
ENSMUSG00000014907.10	NAF1	ENSMUSG00000014907
ENSMUSG00000014932.15	YES1	ENSMUSG00000014932
ENSMUSG00000014956.15	PPP1CB	ENSMUSG00000014956
ENSMUSG00000014959.12	GORASP2	ENSMUSG00000014959
ENSMUSG00000015002.17	EFR3A	ENSMUSG00000015002
ENSMUSG00000015013.9	TRAPPC2L	ENSMUSG00000015013
ENSMUSG00000015016.8	ACSF3	ENSMUSG00000015016
ENSMUSG00000015023.7	DDX19A	ENSMUSG00000015023
ENSMUSG00000015027.11	GALNS	ENSMUSG00000015027
ENSMUSG00000015053.14	GATA2	ENSMUSG00000015053
ENSMUSG00000015083.11	C8G	ENSMUSG00000015083
ENSMUSG00000015085.8	ENTPD2	ENSMUSG00000015085
ENSMUSG00000015087.14	RABL6	ENSMUSG00000015087
ENSMUSG00000015090.13	PTGDS	ENSMUSG00000015090
ENSMUSG00000015092.9	EDF1	ENSMUSG00000015092
ENSMUSG00000015093.15	CLIC3	ENSMUSG00000015093
ENSMUSG00000015094.16	NPDC1	ENSMUSG00000015094
ENSMUSG00000015095.12	FBXW5	ENSMUSG00000015095
ENSMUSG00000015112.15	SLC25A13	ENSMUSG00000015112
ENSMUSG00000015120.15	UBE2I	ENSMUSG00000015120
ENSMUSG00000015126.9	TSR3	ENSMUSG00000015126
ENSMUSG00000015133.17	LRRK1	ENSMUSG00000015133
ENSMUSG00000015134.15	ALDH1A3	ENSMUSG00000015134
ENSMUSG00000015143.14	ACTN1	ENSMUSG00000015143
ENSMUSG00000015149.14	SIRT2	ENSMUSG00000015149
ENSMUSG00000015165.16	HNRNPL	ENSMUSG00000015165
ENSMUSG00000015176.9	NOLC1	ENSMUSG00000015176
ENSMUSG00000015189.12	CASD1	ENSMUSG00000015189
ENSMUSG00000015202.13	CNKSR3	ENSMUSG00000015202
ENSMUSG00000015214.14	MTMR1	ENSMUSG00000015214
ENSMUSG00000015222.17	MAP2	ENSMUSG00000015222
ENSMUSG00000015242.14	NIPSNAP3A	ENSMUSG00000015242
ENSMUSG00000015243.4	ABCA1	ENSMUSG00000015243
ENSMUSG00000015289.4	LAGE3	ENSMUSG00000015289
ENSMUSG00000015290.15	UBL4A	ENSMUSG00000015290
ENSMUSG00000015291.10	GDI1	ENSMUSG00000015291
ENSMUSG00000015305.6	SASH1	ENSMUSG00000015305
ENSMUSG00000015312.8	GADD45B	ENSMUSG00000015312
ENSMUSG00000015335.16	ZDHHC12	ENSMUSG00000015335
ENSMUSG00000015337.5	ENDOG	ENSMUSG00000015337
ENSMUSG00000015340.10	CYBB	ENSMUSG00000015340
ENSMUSG00000015341.17	GOLGA7	ENSMUSG00000015341
ENSMUSG00000015342.6	XK	ENSMUSG00000015342
ENSMUSG00000015354.8	PCOLCE2	ENSMUSG00000015354
ENSMUSG00000015355.13	CD48	ENSMUSG00000015355
ENSMUSG00000015357.10	CLPX	ENSMUSG00000015357
ENSMUSG00000015363.13	TRABD	ENSMUSG00000015363
ENSMUSG00000015365.15	MOV10L1	ENSMUSG00000015365
ENSMUSG00000015377.9	DENND6B	ENSMUSG00000015377
ENSMUSG00000015396.3	CD83	ENSMUSG00000015396
ENSMUSG00000015401.12	TMEM27	ENSMUSG00000015401
ENSMUSG00000015405.15	ACE2	ENSMUSG00000015405
ENSMUSG00000015437.4	GZMB	ENSMUSG00000015437
ENSMUSG00000015461.15	ATF6B	ENSMUSG00000015461
ENSMUSG00000015467.14	EGFL8	ENSMUSG00000015467
ENSMUSG00000015474.16	PPT2	ENSMUSG00000015474
ENSMUSG00000015476.6	PRRT1	ENSMUSG00000015476
ENSMUSG00000015478.13	RNF5	ENSMUSG00000015478
ENSMUSG00000015484.3	FAM163A	ENSMUSG00000015484
ENSMUSG00000015488.14	CACFD1	ENSMUSG00000015488
ENSMUSG00000015501.10	HIVEP2	ENSMUSG00000015501
ENSMUSG00000015522.18	ARNT	ENSMUSG00000015522
ENSMUSG00000015533.8	ITGA2	ENSMUSG00000015533
ENSMUSG00000015536.14	MOCS2	ENSMUSG00000015536
ENSMUSG00000015542.17	NAT9	ENSMUSG00000015542
ENSMUSG00000015568.16	LPL	ENSMUSG00000015568
ENSMUSG00000015579.4	NKX2-5	ENSMUSG00000015579
ENSMUSG00000015599.8	TTBK1	ENSMUSG00000015599
ENSMUSG00000015619.10	GATA3	ENSMUSG00000015619
ENSMUSG00000015627.5	GATA5	ENSMUSG00000015627
ENSMUSG00000015647.9	LAMA5	ENSMUSG00000015647
ENSMUSG00000015653.13	STEAP2	ENSMUSG00000015653
ENSMUSG00000015656.17	HSPA8	ENSMUSG00000015656
ENSMUSG00000015659.12	SERAC1	ENSMUSG00000015659
ENSMUSG00000015665.8	AWAT1	ENSMUSG00000015665
ENSMUSG00000015668.13	PDZD11	ENSMUSG00000015668
ENSMUSG00000015671.10	PSMA2	ENSMUSG00000015671
ENSMUSG00000015672.3	MRPL32	ENSMUSG00000015672
ENSMUSG00000015697.14	SETDB1	ENSMUSG00000015697
ENSMUSG00000015702.13	ANXA9	ENSMUSG00000015702
ENSMUSG00000015709.9	ARNT2	ENSMUSG00000015709
ENSMUSG00000015711.8	PRUNE1	ENSMUSG00000015711
ENSMUSG00000015714.11	CERS2	ENSMUSG00000015714
ENSMUSG00000015733.13	CAPZA2	ENSMUSG00000015733
ENSMUSG00000015745.9	PLEKHO1	ENSMUSG00000015745
ENSMUSG00000015747.5	VPS45	ENSMUSG00000015747
ENSMUSG00000015748.13	PRPF3	ENSMUSG00000015748
ENSMUSG00000015750.15	APH1A	ENSMUSG00000015750
ENSMUSG00000015757.10	PPIL4	ENSMUSG00000015757
ENSMUSG00000015766.14	EPS8	ENSMUSG00000015766
ENSMUSG00000015776.12	MED22	ENSMUSG00000015776
ENSMUSG00000015790.16	SURF1	ENSMUSG00000015790
ENSMUSG00000015804.14	MED28	ENSMUSG00000015804
ENSMUSG00000015806.12	QDPR	ENSMUSG00000015806
ENSMUSG00000015812.7	GNRH1	ENSMUSG00000015812
ENSMUSG00000015829.13	TNR	ENSMUSG00000015829
ENSMUSG00000015837.15	SQSTM1	ENSMUSG00000015837
ENSMUSG00000015839.6	NFE2L2	ENSMUSG00000015839
ENSMUSG00000015843.10	RXRG	ENSMUSG00000015843
ENSMUSG00000015846.14	RXRA	ENSMUSG00000015846
ENSMUSG00000015850.11	ADAMTSL4	ENSMUSG00000015850
ENSMUSG00000015854.7	CD5L	ENSMUSG00000015854
ENSMUSG00000015869.16	PRPSAP1	ENSMUSG00000015869
ENSMUSG00000015879.8	FAM184B	ENSMUSG00000015879
ENSMUSG00000015880.13	NCAPG	ENSMUSG00000015880
ENSMUSG00000015882.17	LCORL	ENSMUSG00000015882
ENSMUSG00000015889.8	LTA4H	ENSMUSG00000015889
ENSMUSG00000015890.2	AMDHD1	ENSMUSG00000015890
ENSMUSG00000015932.8	DSTN	ENSMUSG00000015932
ENSMUSG00000015943.11	BOLA1	ENSMUSG00000015943
ENSMUSG00000015950.13	NCF1	ENSMUSG00000015950
ENSMUSG00000015957.12	WNT11	ENSMUSG00000015957
ENSMUSG00000015966.16	IL17RB	ENSMUSG00000015966
ENSMUSG00000015968.16	CACNA1D	ENSMUSG00000015968
ENSMUSG00000015970.18	CHDH	ENSMUSG00000015970
ENSMUSG00000015971.4	ACTR8	ENSMUSG00000015971
ENSMUSG00000015981.12	STK32C	ENSMUSG00000015981
ENSMUSG00000016018.3	SKIV2L2	ENSMUSG00000016018
ENSMUSG00000016024.9	LBP	ENSMUSG00000016024
ENSMUSG00000016028.9	CELSR1	ENSMUSG00000016028
ENSMUSG00000016087.13	FLI1	ENSMUSG00000016087
ENSMUSG00000016128.14	STARD13	ENSMUSG00000016128
ENSMUSG00000016150.15	TENM1	ENSMUSG00000016150
ENSMUSG00000016179.11	CAMK1G	ENSMUSG00000016179
ENSMUSG00000016194.14	HSD11B1	ENSMUSG00000016194
ENSMUSG00000016200.14	SYT14	ENSMUSG00000016200
ENSMUSG00000016239.11	LONRF3	ENSMUSG00000016239
ENSMUSG00000016253.12	NELFCD	ENSMUSG00000016253
ENSMUSG00000016255.5	TUBB1	ENSMUSG00000016255
ENSMUSG00000016256.10	CTSZ	ENSMUSG00000016256
ENSMUSG00000016257.15	SLMO2	ENSMUSG00000016257
ENSMUSG00000016319.3	SLC25A5	ENSMUSG00000016319
ENSMUSG00000016327.9	ATP1B4	ENSMUSG00000016327
ENSMUSG00000016344.14	PPDPF	ENSMUSG00000016344
ENSMUSG00000016346.17	KCNQ2	ENSMUSG00000016346
ENSMUSG00000016349.10	EEF1A2	ENSMUSG00000016349
ENSMUSG00000016382.15	PLS3	ENSMUSG00000016382
ENSMUSG00000016386.15	MPPED2	ENSMUSG00000016386
ENSMUSG00000016458.14	WT1	ENSMUSG00000016458
ENSMUSG00000016477.17	E2F3	ENSMUSG00000016477
ENSMUSG00000016487.15	PPFIBP1	ENSMUSG00000016487
ENSMUSG00000016494.9	CD34	ENSMUSG00000016494
ENSMUSG00000016495.12	PLGRKT	ENSMUSG00000016495
ENSMUSG00000016496.7	CD274	ENSMUSG00000016496
ENSMUSG00000016503.16	GTF3A	ENSMUSG00000016503
ENSMUSG00000016510.11	MTIF3	ENSMUSG00000016510
ENSMUSG00000016520.7	LNX2	ENSMUSG00000016520
ENSMUSG00000016524.12	IL19	ENSMUSG00000016524
ENSMUSG00000016526.8	DYRK3	ENSMUSG00000016526
ENSMUSG00000016528.10	MAPKAPK2	ENSMUSG00000016528
ENSMUSG00000016529.5	IL10	ENSMUSG00000016529
ENSMUSG00000016534.15	LAMP2	ENSMUSG00000016534
ENSMUSG00000016541.9	ATXN10	ENSMUSG00000016541
ENSMUSG00000016552.13	FOXRED2	ENSMUSG00000016552
ENSMUSG00000016619.9	NUP50	ENSMUSG00000016619
ENSMUSG00000016624.15	PHF21B	ENSMUSG00000016624
ENSMUSG00000016626.10	NLRP14	ENSMUSG00000016626
ENSMUSG00000016637.6	IFT27	ENSMUSG00000016637
ENSMUSG00000016664.14	PACSIN2	ENSMUSG00000016664
ENSMUSG00000016757.10	TTLL12	ENSMUSG00000016757
ENSMUSG00000016763.14	SCUBE1	ENSMUSG00000016763
ENSMUSG00000016831.11	TOX4	ENSMUSG00000016831
ENSMUSG00000016918.15	SULF1	ENSMUSG00000016918
ENSMUSG00000016921.14	SRSF6	ENSMUSG00000016921
ENSMUSG00000016933.17	PLCG1	ENSMUSG00000016933
ENSMUSG00000016940.18	KCTD2	ENSMUSG00000016940
ENSMUSG00000016942.5	TMPRSS6	ENSMUSG00000016942
ENSMUSG00000016946.5	KCTD5	ENSMUSG00000016946
ENSMUSG00000016995.17	MATN4	ENSMUSG00000016995
ENSMUSG00000017002.14	SLPI	ENSMUSG00000017002
ENSMUSG00000017007.9	RBPJL	ENSMUSG00000017007
ENSMUSG00000017009.3	SDC4	ENSMUSG00000017009
ENSMUSG00000017049.4	CCDC70	ENSMUSG00000017049
ENSMUSG00000017057.9	IL13RA1	ENSMUSG00000017057
ENSMUSG00000017132.17	CYTH1	ENSMUSG00000017132
ENSMUSG00000017144.8	RND3	ENSMUSG00000017144
ENSMUSG00000017146.12	BRCA1	ENSMUSG00000017146
ENSMUSG00000017165.1	GAST	ENSMUSG00000017165
ENSMUSG00000017167.6	CNTNAP1	ENSMUSG00000017167
ENSMUSG00000017176.17	NT5C3B	ENSMUSG00000017176
ENSMUSG00000017188.3	COA3	ENSMUSG00000017188
ENSMUSG00000017204.4	GSDMA	ENSMUSG00000017204
ENSMUSG00000017210.14	MED24	ENSMUSG00000017210
ENSMUSG00000017221.14	PSMD3	ENSMUSG00000017221
ENSMUSG00000017264.16	EXOSC10	ENSMUSG00000017264
ENSMUSG00000017286.15	GLOD4	ENSMUSG00000017286
ENSMUSG00000017288.15	VPS53	ENSMUSG00000017288
ENSMUSG00000017291.13	TAOK1	ENSMUSG00000017291
ENSMUSG00000017299.13	DNTTIP1	ENSMUSG00000017299
ENSMUSG00000017307.15	ACOT8	ENSMUSG00000017307
ENSMUSG00000017310.7	SPINT4	ENSMUSG00000017310
ENSMUSG00000017311.15	PYY	ENSMUSG00000017311
ENSMUSG00000017314.12	MPP2	ENSMUSG00000017314
ENSMUSG00000017344.4	VTN	ENSMUSG00000017344
ENSMUSG00000017376.15	NLK	ENSMUSG00000017376
ENSMUSG00000017386.10	TRAF4	ENSMUSG00000017386
ENSMUSG00000017390.15	ALDOC	ENSMUSG00000017390
ENSMUSG00000017400.10	STAC2	ENSMUSG00000017400
ENSMUSG00000017405.14	NEK8	ENSMUSG00000017405
ENSMUSG00000017412.15	CACNB4	ENSMUSG00000017412
ENSMUSG00000017417.14	PLXDC1	ENSMUSG00000017417
ENSMUSG00000017418.13	ARL5B	ENSMUSG00000017418
ENSMUSG00000017428.16	PSMD11	ENSMUSG00000017428
ENSMUSG00000017446.14	C1QTNF1	ENSMUSG00000017446
ENSMUSG00000017453.4	PIPOX	ENSMUSG00000017453
ENSMUSG00000017466.9	TIMP2	ENSMUSG00000017466
ENSMUSG00000017478.15	ZC3H18	ENSMUSG00000017478
ENSMUSG00000017491.8	RARB	ENSMUSG00000017491
ENSMUSG00000017493.12	IGFBP4	ENSMUSG00000017493
ENSMUSG00000017499.15	CDC6	ENSMUSG00000017499
ENSMUSG00000017548.15	SUZ12	ENSMUSG00000017548
ENSMUSG00000017550.14	ATAD5	ENSMUSG00000017550
ENSMUSG00000017588.2	KRT27	ENSMUSG00000017588
ENSMUSG00000017607.9	TNS4	ENSMUSG00000017607
ENSMUSG00000017615.12	TNFAIP1	ENSMUSG00000017615
ENSMUSG00000017631.18	ABR	ENSMUSG00000017631
ENSMUSG00000017652.16	CD40	ENSMUSG00000017652
ENSMUSG00000017664.16	SLC35C2	ENSMUSG00000017664
ENSMUSG00000017670.16	ELMO2	ENSMUSG00000017670
ENSMUSG00000017677.11	WSB1	ENSMUSG00000017677
ENSMUSG00000017679.16	TTPAL	ENSMUSG00000017679
ENSMUSG00000017688.14	HNF4G	ENSMUSG00000017688
ENSMUSG00000017692.8	RHBDL3	ENSMUSG00000017692
ENSMUSG00000017697.3	ADA	ENSMUSG00000017697
ENSMUSG00000017707.9	SERINC3	ENSMUSG00000017707
ENSMUSG00000017716.15	BIRC5	ENSMUSG00000017716
ENSMUSG00000017718.15	AFMID	ENSMUSG00000017718
